epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.5704,0.92584,2.06902,1.06847,0.99476,0.86304,0.871,0.72041,0.65832,0.80285,0.88915,0.00055258,0.00055258,0.00055258
2,61.7255,0.951,1.25702,1.08784,0.93885,0.79167,0.82558,0.63994,0.73794,0.98274,0.93553,0.00109727,0.00109727,0.00109727
3,91.0085,0.96941,0.97371,1.10017,0.49741,0.84741,0.51294,0.4433,0.64571,1.26672,0.92828,0.00163097,0.00163097,0.00163097
4,120.327,0.92791,0.80072,1.0796,0.99031,0.86389,0.86986,0.69556,0.6449,0.48336,0.91782,0.00161749,0.00161749,0.00161749
5,149.969,0.89957,0.71034,1.06134,0.99138,0.8705,0.86998,0.68219,0.64652,0.49402,0.93647,0.00160099,0.00160099,0.00160099
6,179.54,0.86693,0.64449,1.06027,0.98819,0.87275,0.87,0.67204,0.66149,0.46338,0.94113,0.00158448,0.00158448,0.00158448
7,209.02,0.87857,0.63376,1.06104,0.98468,0.875,0.87,0.70487,0.6033,0.45937,0.92679,0.00156798,0.00156798,0.00156798
8,239.803,0.84091,0.60149,1.04948,0.99284,0.86824,0.86993,0.68254,0.59091,0.41141,0.92841,0.00155148,0.00155148,0.00155148
9,269.293,0.8403,0.58606,1.04508,0.99642,0.87275,0.88696,0.71683,0.55582,0.39856,0.88977,0.00153497,0.00153497,0.00153497
10,298.651,0.83243,0.57157,1.04082,0.91847,0.87275,0.86603,0.67637,0.5944,0.42634,0.91714,0.00151847,0.00151847,0.00151847
11,328.023,0.83029,0.55734,1.03083,0.99581,0.8705,0.87,0.65971,0.63424,0.39058,0.92972,0.00150197,0.00150197,0.00150197
12,357.448,0.8047,0.55436,1.03059,0.99087,0.87275,0.86993,0.70554,0.57137,0.40393,0.91922,0.00148546,0.00148546,0.00148546
13,386.877,0.80853,0.53279,1.02282,0.99015,0.86927,0.88822,0.66521,0.62294,0.39722,0.92012,0.00146896,0.00146896,0.00146896
14,416.313,0.78644,0.53118,1.02028,0.99608,0.87391,0.87,0.71423,0.56837,0.4099,0.90703,0.00145246,0.00145246,0.00145246
15,445.787,0.77277,0.50983,1.01319,0.97961,0.8705,0.87,0.68748,0.59513,0.39278,0.91818,0.00143595,0.00143595,0.00143595
16,475.277,0.77298,0.49906,1.01239,0.99396,0.875,0.87,0.71191,0.57868,0.37507,0.91053,0.00141945,0.00141945,0.00141945
17,504.763,0.76872,0.49595,1.0095,0.99226,0.8734,0.86998,0.71146,0.57714,0.40311,0.89582,0.00140295,0.00140295,0.00140295
18,534.254,0.77713,0.4967,1.01451,0.99585,0.86824,0.86989,0.69581,0.59978,0.37628,0.91119,0.00138644,0.00138644,0.00138644
19,563.798,0.76481,0.48706,1.00389,0.99416,0.875,0.87,0.67944,0.6009,0.37497,0.9078,0.00136994,0.00136994,0.00136994
20,593.287,0.74717,0.48673,1.00281,0.98642,0.87275,0.86995,0.73976,0.55427,0.37701,0.88875,0.00135344,0.00135344,0.00135344
21,622.797,0.72987,0.47733,0.99799,0.96342,0.8736,0.87642,0.69292,0.59083,0.41052,0.90936,0.00133693,0.00133693,0.00133693
22,652.287,0.72384,0.45867,0.99034,0.97859,0.875,0.86998,0.67623,0.59301,0.42764,0.91237,0.00132043,0.00132043,0.00132043
23,681.889,0.72813,0.4652,0.99471,0.99268,0.875,0.86998,0.6884,0.53695,0.36989,0.90031,0.00130393,0.00130393,0.00130393
24,711.431,0.71153,0.45939,0.98492,0.99588,0.875,0.87,0.65901,0.58229,0.39587,0.92041,0.00128742,0.00128742,0.00128742
25,740.953,0.71232,0.44702,0.9818,0.99803,0.87253,0.87,0.69399,0.54489,0.36279,0.89519,0.00127092,0.00127092,0.00127092
